RMM,URL,Reference
N-able Remote Software Management,n-able.com,
,upload1.am.remote.management,https://documentation.n-able.com/remote-management/userguide/Content/agent_upload_urls.htm
,upload2.am.remote.management,
,upload3.am.remote.management,
,upload4.am.remote.management,
PDQ Connect,pdq.com,
Pandora RC - eHorus Agent,pandorafms.com,https://pandorafms.com/en/remote-control/download/
,ehorus.com,,
RMS Remote Access or Remote Manipulator System,rmansys.ru,https://rmansys.ru/remote-access/
,,https://apt.etda.or.th/cgi-bin/listgroups.cgi?t=RMS
